word,count
two,120127
twenty,113687
nineteen,97361
thousand,86755
one,62799
hundred,50972
the,47638
of,46251
three,43666
five,42633
nine,42420
s,41743
eight,41723
seven,40075
four,39899
six,39187
c,37000
a,36323
ninety,35486
p,35204
o,35136
d,27544
e,26646
eighty,26277
n,25112
t,24419
i,24219
m,23671
seventy,22252
r,22074
thirty,22007
b,21426
f,21029
fifty,20335
sixty,20167
eighteen,20104
forty,19763
l,18514
u,18503
ten,17450
h,15865
point,15370
twelve,15190
eleven,15140
thirteen,13897
fourteen,13333
fifteen,13143
w,12920
g,12600
v,11309
and,10881
first,10835
to,10600
sil,10547
k,9787
j,9693
october,9415
march,9343
january,9283
september,8825
december,8763
may,8719
july,8664
june,8655
november,8538
august,8489
april,8468
february,8190
dot,7569
second,7352
sixteen,6867
third,6573
fourth,6439
fifth,6339
sixth,6212
eighth,6178
seventeen,6164
seventh,6152
percent,6097
ninth,5759
dollars,5061
y,4224
nineteenth,3549
twentieth,3508
kilometers,3485
million,3477
fifteenth,3455
eleventh,3399
tenth,3380
eighteenth,3325
twelfth,3282
fourteenth,3250
x,3240
sixteenth,3192
seventeenth,3189
thirteenth,3178
slash,3112
saint,3100
thirtieth,2886
zero,2447
z,2087
square,2030
volume,1988
meters,1939
number,1718
center,1546
q,1543
per,1449
doctor,1252
theater,1095
dash,1088
versus,1016
mister,978
limited,967
minus,940
junior,891
acute,860
eighties,826
miles,792
pounds,771
billion,722
millimeters,713
nineties,709
seventies,686
colon,660
alpha,659
sixties,647
feet,629
etcetera,599
sigma,497
omicron,492
fifties,464
labor,446
iota,445
program,428
c's,406
centimeters,393
a's,374
d's,367
thirties,354
epsilon,348
senior,318
hour,302
tau,301
color,297
twenties,296
underscore,294
nu,288
advertizing,284
organization,278
rho,275
com,271
p's,259
honor,258
catalog,253
o's,247
forties,241
i's,236
franchize,235
lambda,227
eta,225
sunday,210
kappa,209
upsilon,206
mount,203
trillion,194
pi,190
e's,179
kilograms,179
hash,178
mu,178
r's,178
v's,176
inches,169
honors,168
organized,168
gamma,168
harbor,167
seconds,167
programs,163
meter,159
favorite,157
centers,155
behavior,155
brothers,153
thousands,152
recognized,150
by,150
m's,147
hectares,145
street,142
beta,140
hundreds,138
colors,138
half,137
dialog,133
neighborhood,129
euros,126
kilowatts,126
l's,124
kilometer,122
omega,122
neighboring,115
u's,112
delta,112
organizations,111
professor,111
favor,111
hundredth,109
cents,109
minutes,109
horsepower,107
y's,102
road,101
fiftieth,100
n's,99
t's,97
saturday,95
tuesday,95
monday,92
colored,90
k's,89
honored,88
department,86
okay,85
synagog,85
dollar,84
criticized,83
theaters,82
friday,82
wednesday,81
sevenths,81
eighths,80
theta,80
f's,79
b's,79
strasse,78
s's,76
minute,75
televized,75
hours,73
tag,69
advertizer,69
cafe,69
thirds,68
armored,68
quebec,66
yahoo,66
fortieth,66
fifths,65
